time;interpolated Pixel leftCheek
0;195.69965657196377
0.015;195.7078616230158
0.045;195.72427172511985
0.075;195.74068182722388
0.105;195.75709192932794
0.135;195.77350203143197
0.165;195.78991213353603
0.195;195.80632223564007
0.225;195.82273233774413
0.255;195.83914243984816
0.285;195.85555254195222
0.315;195.87196264405628
0.345;195.88837274616031
0.375;195.90478284826438
0.405;195.9211929503684
0.435;195.93760305247247
0.465;195.9540131545765
0.495;195.97042325668056
0.525;195.9868333587846
0.555;196.00324346088865
0.585;196.0196535629927
0.615;196.03606366509675
0.645;196.05247376720078
0.675;196.06888386930484
0.705;196.08529397140887
0.735;196.10170407351293
0.765;196.11811417561697
0.795;196.13452427772103
0.825;196.15093437982506
0.855;196.16734448192912
0.885;196.18375458403315
0.915;196.2001646861372
0.945;196.21657478824127
0.975;196.2329848903453
1.005;196.24939499244937
1.035;196.17206914759004
1.065;196.07599611333805
1.095;195.97992307908606
1.125;196.31359362075668
1.155;197.1383996777674
1.185;197.92679028132991
1.215;198.56208102602693
1.245;198.89633002147403
1.275;199.23057901692113
1.305;199.39585682968865
1.335;199.54906527226478
1.365;199.7842043758014
1.395;199.91266154010466
1.425;199.91896813406095
1.455;199.90157820636077
1.485;199.88989009172138
1.515;199.9152637619773
1.545;199.94063743223322
1.575;199.84829299792239
1.605;199.74286877421528
1.635;199.73256763774634
1.665;199.6417749691647
1.695;199.44488105227006
1.725;199.15617503515594
1.755;198.68242967687146
1.785;198.20403457046984
1.815;197.72563946406822
1.845;197.74974084536242
1.875;197.6447010800073
1.905;197.43200984918437
1.935;197.3458153401106
1.965;196.8827622161321
1.995;196.41970909215362
2.025;195.99270973084685
2.055;195.56828563830234
2.085;195.2797748153925
2.115;194.953706039797
2.145;194.48965664977456
2.175;194.0939204601805
2.205;193.97143707229992
2.235;193.47499495295773
2.265;192.97855283361557
2.295;192.94277220526877
2.325;193.04719290026839
2.355;193.14597193996823
2.385;193.17693921301952
2.415;193.11359350867892
2.445;192.89796029914905
2.475;192.26295041120713
2.505;192.35690949958183
2.535;192.4508685879565
2.565;192.52947088399188
2.595;192.47816985645932
2.625;192.3298796791444
2.655;192.20936565577404
2.685;192.13684483269174
2.715;191.97449877196956
2.745;192.0850215123064
2.775;192.15419818558698
2.805;191.4924829454799
2.835;191.40012031672666
2.865;191.6141606890865
2.895;191.80350196300387
2.925;191.92492071620444
2.955;192.04282312420196
2.985;192.11149669935693
3.015;192.18017027451188
3.045;192.05766357932478
3.075;192.1321971007976
3.105;192.1730378920245
3.135;191.92547644786953
3.165;191.75807848912763
3.195;191.98574893875076
3.225;192.21965235597122
3.255;192.35152790229355
3.285;192.36680016758947
3.315;192.3950771127742
3.345;192.46608372045085
3.375;192.5370903281275
3.405;192.3780073559871
3.435;192.14889712042412
3.465;191.90343010313023
3.495;191.64365090182181
3.525;191.49848744115843
3.555;191.55428226779253
3.585;191.51811797360705
3.615;191.67215657578106
3.645;191.82619517795513
3.675;191.57397054403367
3.705;191.45377208434408
3.735;191.60463855421688
3.765;191.7614206544253
3.795;191.75652565152816
3.825;191.75163064863102
3.855;191.7617080610022
3.885;192.0476611472042
3.915;192.39809507011202
3.945;192.70261927859602
3.975;192.95261282394574
4.005;193.0526470456763
4.035;193.15838611770914
4.065;193.42956584850884
4.095;193.3072192059722
4.125;193.4145508684825
4.155;193.34307553956836
4.185;193.12554660126438
4.215;193.03818278819716
4.245;192.99524168101522
4.275;193.42062869253633
4.305;193.53771473191046
4.335;193.53393148793137
4.365;193.5081006008826
