Time,HR (median),Polar,HR (Average Spectogram)
46,54.6875,134,52.73437500000001
47,54.6875,132,52.73437500000001
48,54.6875,131,52.08333333333334
49,54.6875,130,50.78125000000001
50,52.73437500000001,130,50.78125000000001
51,52.73437500000001,129,50.78125000000001
52,52.73437500000001,130,48.828125
53,52.73437500000001,130,48.828125
54,52.73437500000001,130,48.828125
55,52.73437500000001,130,48.828125
56,52.73437500000001,130,48.828125
57,52.73437500000001,130,48.828125
58,52.73437500000001,129,48.828125
59,52.73437500000001,129,84.9609375
60,52.73437500000001,129,121.09375000000001
61,52.73437500000001,128,121.09375000000001
62,52.73437500000001,128,121.09375000000001
63,52.73437500000001,127,121.09375000000001
64,52.73437500000001,127,121.09375000000001
65,52.73437500000001,127,126.95312500000001
66,89.84375,126,126.95312500000001
67,126.953125,126,126.95312500000001
68,126.953125,126,126.95312500000001
69,126.953125,126,126.95312500000001
70,126.953125,126,126.95312500000001
71,126.953125,125,126.95312500000001
72,126.953125,125,126.95312500000001
73,126.953125,125,126.95312500000001
74,126.953125,124,125.97656250000001
75,126.953125,124,125.00000000000001
76,125.0,124,125.00000000000001
77,125.0,124,125.00000000000001
78,125.0,123,123.046875
79,125.0,123,123.046875
80,125.0,123,123.046875
81,125.0,123,123.046875
82,125.0,123,123.046875
83,125.0,124,123.046875
84,125.0,124,123.046875
85,125.0,124,123.046875
86,123.046875,124,122.0703125
87,123.046875,124,121.09375000000001
88,123.046875,124,121.09375000000001
89,123.046875,124,121.09375000000001
90,123.046875,123,121.09375000000001
91,123.046875,123,121.09375000000001
92,123.046875,123,121.09375000000001
93,123.046875,122,121.09375000000001
94,123.046875,122,121.09375000000001
95,123.046875,122,121.09375000000001
96,123.046875,121,121.09375000000001
97,123.046875,121,121.09375000000001
98,123.046875,120,121.09375000000001
99,123.046875,120,121.09375000000001
100,123.046875,120,121.09375000000001
101,123.046875,119,121.09375000000001
102,123.046875,119,121.09375000000001
103,123.046875,119,121.09375000000001
104,123.046875,119,121.09375000000001
105,123.046875,119,121.09375000000001
106,123.046875,119,121.09375000000001
107,123.046875,118,121.09375000000001
108,121.09375,119,121.09375000000001
109,119.140625,119,117.18750000000001
110,119.140625,120,117.18750000000001
111,119.140625,121,117.18750000000001
112,119.140625,121,117.18750000000001
113,119.140625,122,117.18750000000001
114,119.140625,122,117.18750000000001
115,119.140625,123,117.18750000000001
116,119.140625,122,117.18750000000001
117,119.140625,122,117.18750000000001
118,119.140625,122,117.18750000000001
119,119.140625,122,117.18750000000001
120,120.1171875,121,117.18750000000001
121,121.09375,121,119.14062500000001
122,121.09375,120,119.14062500000001
123,121.09375,120,119.14062500000001
124,121.09375,119,119.14062500000001
125,121.09375,118,119.14062500000001
126,121.09375,117,119.14062500000001
127,121.09375,115,119.14062500000001
128,121.09375,114,119.14062500000001
129,121.09375,114,119.14062500000001
130,121.09375,114,119.14062500000001
131,121.09375,114,119.14062500000001
132,121.09375,115,119.14062500000001
133,121.09375,115,119.14062500000001
134,121.09375,115,119.14062500000001
135,121.09375,115,119.14062500000001
136,121.09375,114,119.14062500000001
137,123.046875,113,119.14062500000001
138,123.046875,112,119.14062500000001
139,123.046875,111,119.14062500000001
140,123.046875,111,119.14062500000001
141,122.0703125,110,119.14062500000001
142,121.09375,110,115.23437500000001
143,114.2578125,110,111.32812500000001
144,113.28125,110,111.32812500000001
145,113.28125,110,111.32812500000001
146,113.28125,111,111.32812500000001
147,113.28125,111,111.32812500000001
148,113.28125,110,111.32812500000001
149,113.28125,110,111.32812500000001
150,113.28125,110,111.32812500000001
151,111.328125,110,111.32812500000001
152,111.328125,110,110.3515625
153,60.54687500000001,110,109.3750
154,60.54687500000001,111,109.3750
155,60.54687500000001,111,108.3984375
156,84.9609375,112,107.42187500000001
157,109.3750,112,107.42187500000001
158,109.3750,112,107.42187500000001
159,109.3750,112,107.42187500000001
160,109.3750,112,108.3984375
161,110.3515625,112,109.3750
162,111.328125,112,109.3750
163,111.328125,112,109.3750
164,111.328125,112,109.3750
165,111.328125,113,109.3750
166,111.328125,113,109.3750
167,111.328125,113,109.3750
168,111.328125,113,109.3750
169,111.328125,113,109.3750
170,111.328125,113,109.3750
171,111.328125,113,109.3750
172,111.328125,112,109.3750
173,111.328125,112,109.3750
174,111.328125,111,109.3750
175,111.328125,110,109.3750
176,111.328125,109,109.3750
177,111.328125,107,109.3750
178,112.3046875,106,109.3750
179,113.28125,105,111.32812500000001
180,113.28125,105,111.32812500000001
