time;interpolated Pixel forehead
0;228.70519226591352
0.007;228.69998657507458
0.037;228.67767647147906
0.067;228.65536636788354
0.097;228.633056264288
0.127;228.61074616069249
0.157;228.58843605709697
0.187;228.56612595350146
0.217;228.54381584990594
0.247;228.52150574631042
0.277;228.4991956427149
0.307;228.4768855391194
0.337;228.45457543552385
0.367;228.43226533192833
0.397;228.40995522833282
0.427;228.3876451247373
0.457;228.3653350211418
0.487;228.34302491754627
0.517;228.32071481395076
0.547;228.29840471035524
0.577;228.2760946067597
0.607;228.25378450316418
0.637;228.23147439956867
0.667;228.20916429597315
0.697;228.18685419237764
0.727;228.16454408878212
0.757;228.1422339851866
0.787;228.1199238815911
0.817;228.09761377799558
0.847;228.07530367440003
0.877;228.05299357080452
0.907;228.030683467209
0.937;228.0083733636135
0.967;228.07874808099467
0.997;228.17229400362004
1.027;228.2658399262454
1.057;228.27710384877244
1.087;228.19433119975855
1.117;228.13528183624499
1.147;228.17112561473274
1.177;228.20696939322048
1.207;228.40427502209243
1.237;228.60714830097766
1.267;228.56216942148762
1.297;228.39326446280992
1.327;228.31585953380323
1.357;228.34302606727766
1.387;228.33185029291585
1.417;228.1289629793728
1.447;228.301626500397
1.477;228.46616749336778
1.507;228.61974476046018
1.537;228.78259111558572
1.567;228.8738988295775
1.597;228.8042124849604
1.627;228.81753826352164
1.657;228.83086404208288
1.687;228.649628149598
1.717;228.43845969233675
1.747;228.29546071131728
1.777;228.19790804779234
1.807;228.11188904379202
1.837;228.0409525176316
1.867;228.05738585153756
1.897;228.3745102558193
1.927;228.3745102558193
1.957;228.37119468681558
1.987;228.36736903027287
2.017;228.30068806280306
2.047;228.19761717848073
2.077;228.0990125904899
2.107;228.02943892865392
2.137;227.9598652668179
2.167;227.79362190500768
2.197;227.61250628166297
2.227;228.16334089609913
2.257;228.66022669417723
2.287;228.68293630590316
2.317;228.7846183540048
2.347;229.07056942031647
2.377;229.35652048662814
2.407;229.55766100516468
2.437;229.68459229439793
2.467;229.6445208625441
2.497;229.36598481267313
2.527;229.41241384153216
2.557;229.45884287039118
2.587;229.47050235090325
2.617;229.4206656600546
2.647;229.34275546416768
2.677;229.30254897610254
2.707;229.35031780628825
2.737;229.40045533332375
2.767;229.51928506900308
2.797;229.59238389715009
2.827;229.64588376492605
2.857;229.51763920998064
2.887;229.20765023231385
2.917;229.11360925393183
2.947;229.1275422751922
2.977;229.193414060772
3.007;229.28469535465192
3.037;229.20593499144624
3.067;229.12717462824057
3.097;229.01814175514204
3.127;229.02403700560743
3.157;229.06556847867685
3.187;229.16330290436372
3.217;229.3102149135908
3.247;229.3079553639358
3.277;229.26840292456026
3.307;229.25207678491242
3.337;229.24855384452837
3.367;229.2376581526189
3.397;229.22676246070947
3.427;229.26635318469204
3.457;229.3059439086746
3.487;229.31386205347113
3.517;229.5138172102199
3.547;229.75226123734907
3.577;229.90239138856782
3.607;230.0195151705309
3.637;229.83958162919282
3.667;229.76098906637455
3.697;229.7330669928162
3.727;229.73319615895127
3.757;229.76019130038716
3.787;229.74852928447044
3.817;229.66106416509504
3.847;229.57359904571965
3.877;229.8060238255788
3.907;230.0152346023701
3.937;230.2104261195487
3.967;230.30151549423206
3.997;230.27019439307048
4.027;230.17382169933725
4.057;230.04146547686344
4.087;229.9091092543896
4.117;229.92621628597237
4.147;229.93405095513899
4.177;229.91723666210672
4.207;229.91994947380388
4.237;229.96064164926148
4.267;230.00133382471904
4.297;230.0252183540411
4.327;230.1432441743304
4.357;230.29896479047855
4.387;230.34990597255694
4.417;230.07329067801066
4.447;229.79667538346442
4.477;229.7874548736462
4.507;229.90582127285217
4.537;229.9328493709392
4.567;229.8389475681059
4.597;229.76089767397076
4.627;229.69748015704548
4.657;229.48926078156993
4.687;229.44900670372792
4.717;229.4507439502943
4.747;229.56358083032885
4.777;229.7504841326755
4.807;229.88834569197454
4.837;229.8413811296894
4.867;229.41851055366334
4.897;229.339544539194
4.927;229.26057852472465
4.957;229.28418694733818
4.987;229.3671805703681
5.017;229.42674107410025
5.047;229.45115189888568
5.077;229.47149425287355
5.107;229.47994419398185
5.137;229.6066933106065
5.167;229.73344242723113
5.197;229.73341477165945
5.227;229.6673870008254
5.257;229.58445159491393
5.287;229.47778793418647
5.317;229.3892591777759
5.347;229.4063205442806
5.377;229.44507546187876
5.407;229.67907233931825
5.437;229.58438663719025
5.467;229.54970096146567
5.497;229.62260808537192
5.527;229.75333085011286
5.557;229.95080056317738
5.587;230.16314168318826
5.617;229.97562679550796
5.647;229.84086576129536
5.677;229.9074452702253
5.707;229.81170373767486
5.737;229.63312084384316
5.767;229.4902545287778
5.797;229.48870463320353
5.827;229.4422077659752
5.857;229.32802295361967
5.887;229.3753645839806
5.917;229.52225040908345
5.947;229.62746365105008
5.977;229.7082731060284
6.007;229.97938707835826
6.037;229.8426825149669
6.067;229.71393380861298
6.097;229.59260225274832
6.127;229.50917219895373
6.157;229.460122317819
6.187;229.39804565083136
6.217;229.5404177805817
6.247;229.54990925589837
6.277;229.78813058991244
6.307;229.84055423325398
6.337;229.75782726963618
6.367;229.74483651108616
6.397;229.85229919765334
6.427;229.93062254999668
6.457;229.81954022988506
6.487;229.72250083022834
6.517;229.62546143057162
6.547;229.60605355064027
6.577;229.3881601956052
6.607;229.18203166094733
6.637;229.1540447798008
6.667;229.29526911531232
6.697;229.42257939286384
6.727;229.35509285897498
6.757;229.28760632508613
6.787;229.23324005345287
6.817;229.3107428633218
6.847;229.48001606686657
6.877;229.61513538532748
6.907;229.56759348034515
6.937;229.2823420504513
6.967;229.30949539411404
6.997;229.09112398691883
7.027;229.00953916482933
7.057;229.13288261546734
7.087;229.29002856564162
7.117;229.44717451581587
7.147;229.45219746972776
7.177;229.4463544953352
7.207;229.44797367935553
7.237;229.45279093126703
7.267;229.46663740540995
7.297;229.49402771289994
7.327;229.17204492966616
7.357;228.81124291412974
7.387;228.78443605794072
7.417;228.70767694918638
7.447;228.5175110395933
7.477;228.42036011080333
7.507;228.42570588521164
7.537;228.46579919327405
7.567;228.5003173466593
7.597;228.53397778394034
7.627;228.47084883815788
7.657;228.4031088505718
7.687;228.41250623820403
7.717;228.4095693383194
7.747;228.34496100085053
7.777;228.28035266338165
7.807;228.23696682464455
7.837;228.19431279620852
7.867;228.00441855414036
7.897;228.01748922835878
7.927;228.098804175019
7.957;228.07516416672425
7.987;228.05546415981198
8.017;228.06718926237806
8.047;228.24306580086932
8.077;228.4189423393606
8.107;228.40119663865545
8.137;228.37694117647058
8.167;228.25498830526263
8.197;228.011503573392
8.227;227.82302980550642
8.257;227.78409952008082
8.287;227.7451692346552
8.317;228.02913217623498
8.347;228.14213319789584
8.377;228.1094217199055
8.407;228.0803820354984
8.437;228.10951196445126
8.467;228.24658844907674
8.497;228.3987185571903
8.527;228.68633127669673
8.557;228.58599664629912
8.587;228.56038761522098
8.617;228.32851362221072
8.647;228.11845921556235
8.677;228.15202780996523
8.707;228.15985981287776
8.737;228.1990198274403
8.767;228.2381798420029
8.797;228.39945039459585
8.827;228.56493165539675
8.857;228.63336853637594
8.887;228.66021496886012
8.917;228.67957139059862
8.947;228.6653720508167
8.977;228.55829401088928
