time;interpolated Pixel forehead
0;225.28096995255666
0.029;225.31895700863384
0.059;225.35825396319646
0.089;225.39755091775908
0.119;225.43684787232166
0.149;225.47614482688428
0.179;225.5154417814469
0.209;225.55473873600948
0.239;225.5940356905721
0.269;225.63333264513471
0.299;225.67262959969733
0.329;225.71192655425992
0.359;225.75122350882253
0.389;225.79052046338515
0.419;225.82981741794777
0.449;225.86911437251035
0.479;225.90841132707297
0.509;225.94770828163558
0.539;225.9870052361982
0.569;226.0263021907608
0.599;226.0655991453234
0.629;226.10489609988602
0.659;226.1441930544486
0.689;226.18349000901122
0.719;226.22278696357384
0.749;226.26208391813645
0.779;226.30138087269904
0.809;226.34067782726166
0.839;226.37997478182427
0.869;226.4192717363869
0.899;226.45856869094948
0.929;226.4978656455121
0.959;226.5371626000747
0.989;226.57645955463732
1.019;226.6157565091999
1.049;226.87142568282593
1.079;227.31642054813238
1.109;227.76141541343887
1.139;228.1076438192771
1.169;227.96003992777418
1.199;227.81243603627127
1.229;227.60449488828812
1.259;227.49890974282133
1.289;227.42651681452307
1.319;227.44899441195363
1.349;227.59553346610645
1.379;227.7179192989753
1.409;227.76094454762537
1.439;227.48904775471289
1.469;227.46947969243834
1.499;227.45707838346917
1.529;227.48387147599985
1.559;227.6694801284812
1.589;227.85228301831094
1.619;227.95371879124315
1.649;228.05515456417533
1.679;228.08842075979103
1.709;228.05594643317238
1.739;227.99742337732738
1.769;227.986002621232
1.799;228.10483301068425
1.829;227.88047364932297
1.859;227.5793020547688
1.889;227.41084282241553
1.919;227.31448916259714
1.949;227.32206050581516
1.979;227.39447305728788
2.009;227.4252125172259
2.039;227.37260579409443
2.069;227.32009175346894
2.099;227.26887526792765
2.129;227.38382810650103
2.159;227.41251488762742
2.189;227.40311828123308
2.219;227.39167221982655
2.249;227.4448068991376
2.279;227.5667264746888
2.309;227.5014087168993
2.339;227.62372331044912
2.369;227.82645176885865
2.399;227.90325012663595
2.429;227.81537066050961
2.459;227.7367217887824
2.489;227.69990590440042
2.519;227.80549770272876
2.549;227.9110895010571
2.579;227.83311733740095
2.609;227.70925418324865
2.639;227.60465080970525
2.669;227.51930721677076
2.699;227.53095567118694
2.729;227.79545787371814
2.759;227.65760299536527
2.789;227.5197481170124
2.819;227.54458154899936
2.849;227.62142846077248
2.879;227.7331433629418
2.909;227.8232887135847
2.939;227.65283469089306
2.969;227.64177166267297
2.999;227.53976046752757
3.029;227.4765067910057
3.059;227.5195021751525
3.089;227.54162890833732
3.119;227.49155065230715
3.149;227.59924700113825
3.179;227.7131092205569
3.209;227.82718405620273
3.239;227.72915161150456
