time;interpolated Pixel rightCheek
0;202.7867572156197
0.018;202.76708448833185
0.048;202.73429660951874
0.078;202.70150873070565
0.108;202.66872085189257
0.138;202.63593297307946
0.168;202.60314509426638
0.198;202.57035721545327
0.228;202.5375693366402
0.258;202.50478145782708
0.288;202.471993579014
0.318;202.4392057002009
0.348;202.4064178213878
0.378;202.3736299425747
0.408;202.3408420637616
0.438;202.3080541849485
0.468;202.27526630613542
0.498;202.24247842732234
0.528;202.20969054850923
0.558;202.17690266969615
0.588;202.14411479088304
0.618;202.11132691206996
0.648;202.07853903325685
0.678;202.04575115444376
0.708;202.01296327563065
0.738;201.98017539681757
0.768;201.94738751800446
0.798;201.91459963919138
0.828;201.88181176037827
0.858;201.8490238815652
0.888;201.91608235948803
0.918;202.0705063995548
0.948;202.2615417579635
0.978;202.69055068559464
1.008;203.11955961322576
1.038;203.30771735591014
1.068;203.47867144252686
1.098;203.61199328104198
1.128;203.62916529198284
1.158;203.6604733542864
1.188;203.77984996363492
1.218;203.66782069881484
1.248;203.55579143399476
1.278;203.8394850939165
1.308;204.15144467703408
1.338;204.15613342111038
1.368;203.6990020698389
1.398;203.140314653537
1.428;203.04980909838014
1.458;203.1883136731559
1.488;203.32681824793164
1.518;203.3544408225683
1.548;203.36500462795286
1.578;203.11177808463233
1.608;202.8619078580717
1.638;202.93031847524182
1.668;203.295991886901
1.698;203.22893772893775
1.728;203.16188357097448
1.758;203.17780926226087
1.788;203.2029549367972
1.818;203.38124314434438
1.848;203.63610261839705
1.878;203.79641773514732
1.908;203.81703467194316
1.938;203.8294110859087
1.968;203.43387344686354
1.998;203.49537648612946
2.028;203.60766182298545
2.058;203.82774140219468
2.088;204.09401851384095
2.118;203.82013615291817
2.148;203.41121392385307
2.178;203.2927558910162
2.208;203.53281840001188
2.238;203.84622300381355
2.268;203.82715231186847
2.298;203.53409472623446
2.328;203.19016193628713
2.358;202.84622914633977
2.388;202.74641961481336
2.418;202.69543473497114
2.448;202.76403026746095
2.478;202.91234607483875
2.508;202.82169297208597
2.538;202.4615092781473
2.568;202.54593945425847
2.598;202.63036963036964
2.628;202.8678244832091
2.658;202.9597271401649
2.688;202.9892502845991
2.718;203.0547402378545
2.748;203.16726371033752
2.778;203.2316874241632
2.808;202.98346270671615
2.838;202.98346270671615
2.868;203.20169712164312
2.898;203.31555855551807
2.928;203.34375059811754
2.958;203.42063798702517
2.988;203.46933333333334
3.018;203.44718549310198
3.048;203.2864847949341
3.078;203.28261910021354
3.108;203.21033251246718
3.138;203.12436174611565
3.168;203.11669010233575
3.198;203.27416301542144
3.228;203.5317301269205
3.258;203.71124495031506
3.288;203.9139873413135
3.318;204.1177151475824
