time;Pixel leftCheek
0;196.97773475314617
1.032;197.73631341034655
1.138;197.90155700652937
1.205;197.52395061728396
1.272;196.91240875912408
1.352;197.07783837382252
1.418;196.5804569761789
1.452;196.39086047642198
1.486;197.75776081424937
1.521;197.7470737913486
1.593;196.65721271393642
1.635;196.8044009779951
1.701;197.21618903971844
1.738;197.37707390648566
1.772;196.38323643410854
1.839;196.59447674418604
1.873;197.42226680040122
1.908;197.5802407221665
1.944;197.44884653961887
1.978;196.4354136429608
2.044;197.20774647887325
2.111;197.00553319919518
2.145;196.64520884520886
2.189;196.72678132678132
2.256;196.97051597051598
2.324;197.1591248135256
2.395;197.99255952380952
2.463;198.1106150793651
2.497;198.32508659079664
2.531;198.30677882236517
2.565;198.56801195814649
2.643;198.46360527601368
2.711;197.7655105031754
2.746;198.03069306930692
2.813;197.940099009901
2.878;198.09059233449477
2.912;197.86859133897462
2.945;197.9667823500248
2.979;198.0639563708478
3.048;197.80431584109857
3.114;198.18979892103974
3.149;198.1300339640951
3.182;198.12712275594373
3.219;198.66056407718952
3.251;198.69717961405246
3.289;198.96338446313706
3.324;198.3806763285024
3.4;198.27487922705313
3.436;198.5569871159564
3.474;198.50049554013876
3.511;197.67185978578382
3.545;197.74878286270692
3.578;197.47127555988317
3.612;197.32531894013738
3.646;197.32531894013738
3.711;197.24084025403027
3.745;197.11480214948705
3.779;197.53444881889763
3.814;197.37549212598427
3.849;196.66893534273214
3.892;196.64414195430237
3.964;197.1298006806028
4.011;197.53929807217006
4.045;197.24320316361838
4.079;197.10825506673257
4.112;197.08055009823184
4.146;197.33398821218074
4.213;197.40603015075376
4.248;197.264824120603
4.323;196.23154362416108
4.391;196.06807286673057
4.457;195.86241610738256
4.496;196.93553223388307
4.562;196.8200899550225
4.596;195.7687559354226
4.631;195.79154795821464
4.668;195.59354226020892
4.737;196.22751842751842
4.804;195.62327134000952
4.838;195.61182641869337
4.872;196.28120374938334
4.928;196.28367044893932
4.963;195.28530397319292
4.997;195.26136907611297
5.034;195.14887505983725
5.067;196.456510809452
5.102;196.0960281548517
5.136;194.98096144693002
5.17;194.92955735364112
5.219;194.62018086625417
5.29;195.44011976047904
5.323;195.3807385229541
5.357;194.5720461095101
5.393;194.84774255523536
5.427;195.07614725163893
5.463;195.26928895612707
5.497;194.91275844679777
5.531;194.85714285714286
5.564;194.91794364804744
5.607;194.64260998517054
5.678;194.7590480912246
5.711;194.33366385721368
5.745;193.65198237885463
5.779;193.37200195790504
5.813;193.29515418502203
5.846;194.07980049875312
5.912;193.56534653465346
5.945;193.67772277227724
6.027;194.36898124683225
6.061;194.0086163203244
6.095;193.21442495126706
6.13;193.12768031189083
6.164;193.37450787401573
6.199;193.5369094488189
6.234;193.81578947368422
6.268;193.96375372393248
6.337;194.2845084409136
6.399;193.88973191704602
6.432;193.64795144157816
6.47;193.3636823469904
6.503;193.51846231664138
6.536;192.14417924987822
6.57;192.56015586945932
6.606;192.94781312127236
6.64;193.1441351888668
6.675;193.17296222664015
6.709;192.6829506595017
6.743;192.53395212506106
6.81;192.97204512015693
6.844;192.92005885237862
6.879;192.78985860555827
6.914;193.08776206728425
6.948;193.25841053144808
6.982;193.83432245301682
7.015;193.69040553907024
7.049;193.87833827893175
7.083;193.57520823125918
7.119;193.37138657520822
7.153;193.1829268292683
7.246;193.58243902439025
7.28;193.5110240078393
7.314;193.52474277315042
7.347;193.6988188976378
7.381;193.78740157480314
7.414;193.6072463768116
7.448;193.35893719806762
7.482;193.5222222222222
7.55;194.22684958353747
7.585;194.13767760901518
7.653;194.3360935216756
7.688;194.44422795908426
7.722;194.42433090024332
7.755;194.469099756691
7.789;194.5688388045076
